cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
3559.174662,3614.345613,3542.963049,3384.946811,3545.615814,3546.351101,3696.520596,3474.219274,3456.837411,3579.159902,3559.174662,3614.345613,3542.963049,3384.946811,3545.615814,3546.351101,3696.520596,3474.219274,3456.837411,3579.159902
3086.673767,3128.973244,3032.89895,3129.543319,3029.238269,2983.801317,2997.112876,3262.836556,2985.393633,2929.933844,3086.673767,3128.973244,3032.89895,3129.543319,3029.238269,2983.801317,2997.112876,3262.836556,2985.393633,2929.933844
2542.002567,2773.492587,2616.024491,2799.638064,2706.391447,2654.8794,2595.297059,2586.701407,2624.64427,2752.573356,2542.002567,2773.492587,2616.024491,2799.638064,2706.391447,2654.8794,2595.297059,2586.701407,2624.64427,2752.573356
2476.530064,2536.117149,2459.145851,2519.427426,2524.139837,2508.700699,2477.137618,2512.962533,2538.250178,2591.355699,2476.530064,2536.117149,2459.145851,2519.427426,2524.139837,2508.700699,2477.137618,2512.962533,2538.250178,2591.355699
1970.34537,1963.831034,2095.396268,2094.527706,1894.942526,1942.671197,1983.184897,1912.751886,1928.005237,1950.890542,1970.34537,1963.831034,2095.396268,2094.527706,1894.942526,1942.671197,1983.184897,1912.751886,1928.005237,1950.890542
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
